Slug	Name	Dimension	Granularity	Function_name	Formalization_latex	Formalization_fp	Description_fp
service-time-from-activity-a-to-activity-b-group-of-cases-granularity-t-g	Service Time from activity A to activity B (group of cases granularity)	T	G	"\(\mathit{STAB}\mathit{^{\times}}(g, \mathit{a}, \mathit{b})\)
\newline \newline \(\mathit{\times} \in \{\mathit{s}, \mathit{c}, \mathit{sc}, \mathit{w}\}\)"	"\(\sum _{c \in g} \begin{cases}
\mathit{STAB}\mathit{^{\times}}(c, \mathit{a}, \mathit{b}) & \mathit{if \ } \mathit{fi}\mathit{^{sc}}(c, \mathit{a}, \mathit{b}) \neq \emptyset \\ 0 & \mathit{if \ } \mathit{fi}\mathit{^{sc}}(c, \mathit{a}, \mathit{b}) = \emptyset
\end{cases}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{s}, \mathit{c}, \mathit{sc}, \mathit{w}\}$. If $\mathit{\times} = \mathit{s}$, then the function considers activity instances that were started within the start and end activity instances, i.e., it uses $\mathit{STAB}\mathit{^{s}}$; if $\mathit{\times} = \mathit{c}$, then the function considers activity instances that were completed within the start and end activity instances, i.e., it uses $\mathit{STAB}\mathit{^{c}}$; if $\mathit{\times} = \mathit{sc}$, then the function considers activity instances that were either started or completed within the start and end activity instances, i.e., it uses $\mathit{STAB}\mathit{^{sc}}$; if $\mathit{\times} = \mathit{^{w}}$, then the function considers all activity instances that were active within the start and end activity instances, i.e., it uses $\mathit{STAB}\mathit{^{w}}$."	\(\sum _{c \in g} \begin{cases} \mathit{STAB}(c, \mathit{a}, \mathit{b}) & \mathit{if \ } \mathit{fi}(c, \mathit{a}, \mathit{b}) \neq \emptyset \\ 0 & \mathit{if \ } \mathit{fi}(c, \mathit{a}, \mathit{b}) = \emptyset \end{cases}\)	"\(\mathit{STAB}\) returns the service time from activity \(\mathit{a}\) to activity \(\mathit{b}\) in case \(c\).
\newline \(\mathit{fi}\) returns the set of first instances of activity \(\mathit{b}\) that occur after the first instance of \(\mathit{a}\) in case \(c\). \\"
successful-outcome-unit-count-activity-granularity-q-a	Successful outcome Unit Count (activity granularity)	Q	A	"\(\mathit{SUC}\mathit{^{\times}}(a)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{i \in \mathit{inst}(a)} \mathit{SUC}\mathit{^{\times}}(i)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC}\mathit{^{sum}}$."	\(\sum _{i \in \mathit{inst}(a)} \mathit{SUC}(i)\)	"\(\mathit{inst}(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{SUC}(i)\) returns the successful outcome unit count of activity instance \(i\). \\"
successful-outcome-unit-count-case-granularity-q-c	Successful outcome Unit Count (case granularity)	Q	C	"\(\mathit{SUC}\mathit{^{\times}}(c)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{i \in \mathit{inst}(c)} \mathit{SUC}\mathit{^{\times}}(i)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC}\mathit{^{sum}}$."	\(\sum _{i \in \mathit{inst}(c)} \mathit{SUC}(i)\)	"\(\mathit{inst}(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{SUC}(i)\) returns the successful outcome unit count of activity instance \(i\). \\"
successful-outcome-unit-count-group-of-cases-granularity-q-g	Successful outcome Unit Count (group of cases granularity)	Q	G	"\(\mathit{SUC}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{c \in G} \mathit{SUC}\mathit{^{\times}}(c)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC}\mathit{^{sum}}$."	\(\sum _{c \in G} \mathit{SUC}(c)\)	\(\mathit{SUC}(c)\) returns the successful outcome unit count for case \(c\). \\
successful-outcome-unit-count-activity-instance-granularity-q-i	Successful outcome Unit Count (activity instance granularity)	Q	I	"\(\mathit{SUC}\mathit{^{\times}}(i)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\begin{cases}
\mathit{U}\mathit{^{\times}}(i) - \#^{}_{\mathit{uns}}(\mathit{cpl}(i)) & \mathit{if \ } \#^{}_{\mathit{uns}}(\mathit{cpl}(i)) \neq \bot \\
\mathit{U}\mathit{^{\times}}(i) & \mathit{if \ } \#^{}_{\mathit{uns}}(\mathit{cpl}(i)) = \bot \\
\end{cases}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U}\mathit{^{sum}}$."	"\(\begin{cases}
\mathit{U}(i) - \#^{}_{\mathit{uns}}(\mathit{cpl}(i)) & \mathit{if \ } \#^{}_{\mathit{uns}}(\mathit{cpl}(i)) \neq undefined \\
\mathit{U}(i) & \mathit{if \ } \#^{}_{\mathit{uns}}(\mathit{cpl}(i)) = undefined \\
\end{cases}\)"	"\(\mathit{U}(i)\) returns the outcome unit count of activity instance \(i\).
\newline \(\#^{}_{\mathit{uns}}\) returns the unsuccessful outcome unit count associated with an event.
\newline \(\mathit{cpl}(i)\) returns the completion event of activity instance \(i\). \\"
successful-outcome-unit-percentage-activity-granularity-q-a	Successful outcome Unit Percentage (activity granularity)	Q	A	"\(\mathit{SUP}\mathit{^{\times}}(a)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{SUC}\mathit{^{\times}}(a)}{\mathit{U}\mathit{^{\times}}(a)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC}\mathit{^{sgl}}$ and $\mathit{U}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC}\mathit{^{sum}}$ and $\mathit{U}\mathit{^{sum}}$."	\(\frac{\mathit{SUC}(a)}{\mathit{U}(a)}\)	"\(\mathit{SUC}(a)\) returns the successful outcome unit count of activity \(a\).
\newline \(\mathit{U}(a)\) returns the total outcome unit count of activity \(a\). \\"
successful-outcome-unit-percentage-case-granularity-q-c	Successful outcome Unit Percentage (case granularity)	Q	C	"\(\mathit{SUP}\mathit{^{\times}}(c)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{SUC}\mathit{^{\times}}(c)}{\mathit{U}\mathit{^{\times}}(c)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC}\mathit{^{sgl}}$ and $\mathit{U}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC}\mathit{^{sum}}$ and $\mathit{U}\mathit{^{sum}}$."	\(\frac{\mathit{SUC}(c)}{\mathit{U}(c)}\)	"\(\mathit{SUC}(c)\) returns the successful outcome unit count of case \(c\).
\newline \(\mathit{U}(c)\) returns the total outcome unit count of case \(c\). \\"
successful-outcome-unit-percentage-group-of-cases-granularity-q-g	Successful outcome Unit Percentage (group of cases granularity)	Q	G	"\(\mathit{SUP}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{SUC}\mathit{^{\times}}(g)}{\mathit{U}\mathit{^{\times}}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC}\mathit{^{sgl}}$ and $\mathit{U}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC}\mathit{^{sum}}$ and $\mathit{U}\mathit{^{sum}}$."	\(\frac{\mathit{SUC}(g)}{\mathit{U}(g)}\)	"\(\mathit{SUC}(g)\) returns the total successful outcome unit count of case group \(g\).
\newline \(\mathit{U}(g)\) returns the total outcome unit count of case group \(g\). \\"
successful-outcome-unit-percentage-activity-instance-granularity-q-i	Successful outcome Unit Percentage (activity instance granularity)	Q	I	"\(\mathit{SUP}\mathit{^{\times}}(i)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{SUC}\mathit{^{\times}}(i)}{\mathit{U}\mathit{^{\times}}(i)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC}\mathit{^{sgl}}$ and $\mathit{U}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{SUC}\mathit{^{sum}}$ and $\mathit{U}\mathit{^{sum}}$."	\(\frac{\mathit{SUC}(i)}{\mathit{U}(i)}\)	"\(\mathit{SUC}(i)\) returns the successful outcome unit count of activity instance \(i\).
\newline \(\mathit{U}(i)\) returns the outcome unit count of activity instance \(i\). \\"
total-cost-activity-granularity-c-a	Total Cost (activity granularity)	C	A	"\(\mathit{TC}\mathit{^{\times}}(a)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{i \in \mathit{inst}(a)} \mathit{TC}\mathit{^{\times}}(i)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\sum _{i \in \mathit{inst}(a)} \mathit{TC}(i)\)	"\(\mathit{inst}(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{TC}(i)\) returns the total cost of activity instance \(i\). \\"
total-cost-case-granularity-c-c	Total Cost (case granularity)	C	C	"\(\mathit{TC}\mathit{^{\times}}(c)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{i \in \mathit{inst}(c)} \mathit{TC}\mathit{^{\times}}(i)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\sum _{i \in \mathit{inst}(c)} \mathit{TC}(i)\)	"\(\mathit{inst}(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{TC}(i)\) returns the total cost of activity instance \(i\). \\"
total-cost-group-of-cases-granularity-c-g	Total Cost (group of cases granularity)	C	G	"\(\mathit{TC}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\sum _{c \in g} \mathit{TC}\mathit{^{\times}}(c)\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\sum _{c \in g} \mathit{TC}(c)\)	\(\mathit{TC}(c)\) returns the total cost of case \(c\). \\
total-cost-and-client-count-ratio-activity-granularity-q-a	Total Cost and Client count Ratio (activity granularity)	Q	A	"\(\mathit{TCCliR}\mathit{^{\times}}(a)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(a)}{\mathit{Cli}(a)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(a)}{\mathit{Cli}(a)}\)	"\(\mathit{TC}(a)\) returns the total cost of activity \(a\).
\newline \(\mathit{Cli}(a)\) returns the number of distinct clients involved in activity \(a\). \\"
total-cost-and-client-count-ratio-group-of-cases-granularity-q-g	Total Cost and Client count Ratio (group of cases granularity)	Q	G	"\(\mathit{TCCliR}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(g)}{\mathit{Cli}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(g)}{\mathit{Cli}(g)}\)	"\(\mathit{TC}(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{Cli}(g)\) returns the number of distinct clients associated with group \(g\). \\"
total-cost-and-lead-time-ratio-activity-granularity-c-a	Total Cost and Lead Time Ratio (activity granularity)	C	A	"\(\mathit{TCLTR}\mathit{^{\times}}(a)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(a)}{\mathit{LT}(a)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(a)}{\mathit{LT}(a)}\)	"\(\mathit{TC}(a)\) returns the total cost of activity \(a\).
\newline \(\mathit{LT}(a)\) returns the total lead time of activity \(a\). \\"
total-cost-and-lead-time-ratio-case-granularity-c-c	Total Cost and Lead Time Ratio (case granularity)	C	C	"\(\mathit{TCLTR}\mathit{^{\times}}(c)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(c)}{\mathit{LT}(c)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(c)}{\mathit{LT}(c)}\)	"\(\mathit{TC}(c)\) returns the total cost of case \(c\).
\newline \(\mathit{LT}(c)\) returns the total lead time of case \(c\). \\"
total-cost-and-lead-time-ratio-group-of-cases-granularity-c-g	Total Cost and Lead Time Ratio (group of cases granularity)	C	G	"\(\mathit{TCLTR}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(g)}{\mathit{LT}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(g)}{\mathit{LT}(g)}\)	"\(\mathit{TC}(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{LT}(g)\) returns the total lead time of case group \(g\). \\"
total-cost-and-lead-time-ratio-activity-instance-granularity-c-i	Total Cost and Lead Time Ratio (activity instance granularity)	C	I	"\(\mathit{TCLTR}\mathit{^{\times}}(i)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(i)}{\mathit{LT}(i)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(i)}{\mathit{LT}(i)}\)	"\(\mathit{TC}(i)\) returns the total cost of activity instance \(i\).
\newline \(\mathit{LT}(i)\) returns the lead time of activity instance \(i\). \\"
total-cost-and-outcome-unit-ratio-activity-granularity-c-a	Total Cost and outcome Unit Ratio (activity granularity)	C	A	"\(\mathit{TCUR}\mathit{^{\times}}(a)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(a)}{\mathit{U}\mathit{^{\times}}(a)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost and outcome unit calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$ and $\mathit{U}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost and outcome unit calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$ and $\mathit{U}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(a)}{\mathit{U}(a)}\)	"\(\mathit{TC}(a)\) returns the total cost of activity \(a\).
\newline \(\mathit{U}(a)\) returns the total outcome unit count of activity \(a\). \\"
total-cost-and-outcome-unit-ratio-case-granularity-c-c	Total Cost and outcome Unit Ratio (case granularity)	C	C	"\(\mathit{TCUR}\mathit{^{\times}}(c)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(c)}{\mathit{U}\mathit{^{\times}}(c)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost and outcome unit calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$ and $\mathit{U}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost and outcome unit calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$ and $\mathit{U}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(c)}{\mathit{U}(c)}\)	"\(\mathit{TC}(c)\) returns the total cost of case \(c\).
\newline \(\mathit{U}(c)\) returns the total outcome unit count of case \(c\). \\"
total-cost-and-outcome-unit-ratio-group-of-cases-granularity-c-g	Total Cost and outcome Unit Ratio (group of cases granularity)	C	G	"\(\mathit{TCUR}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(g)}{\mathit{U}\mathit{^{\times}}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost and outcome unit calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$ and $\mathit{U}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost and outcome unit calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$ and $\mathit{U}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(g)}{\mathit{U}(g)}\)	"\(\mathit{TC}(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{U}(g)\) returns the total outcome unit count of case group \(g\). \\"
total-cost-and-outcome-unit-ratio-activity-instance-granularity-c-i	Total Cost and outcome Unit Ratio (activity instance granularity)	C	I	"\(\mathit{TCUR}\mathit{^{\times}}(i)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(i)}{\mathit{U}\mathit{^{\times}}(i)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost and outcome unit calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$ and $\mathit{U}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost and outcome unit calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$ and $\mathit{U}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(i)}{\mathit{U}(i)}\)	"\(\mathit{TC}(i)\) returns the total cost of activity instance \(i\).
\newline \(\mathit{U}(i)\) returns the outcome unit count of activity instance \(i\). \\"
total-cost-and-service-time-ratio-activity-granularity-c-a	Total Cost and Service Time Ratio (activity granularity)	C	A	"\(\mathit{TCSTR}\mathit{^{\times}}(a)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(a)}{\mathit{ST}(a)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(a)}{\mathit{ST}(a)}\)	"\(\mathit{TC}(a)\) returns the total cost of activity \(a\).
\newline \(\mathit{ST}(a)\) returns the total service time of activity \(a\). \\"
total-cost-and-service-time-ratio-case-granularity-c-c	Total Cost and Service Time Ratio (case granularity)	C	C	"\(\mathit{TCSTR}\mathit{^{\times}}(c)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(c)}{\mathit{ST}(c)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(c)}{\mathit{ST}(c)}\)	"\(\mathit{TC}(c)\) returns the total cost of case \(c\).
\newline \(\mathit{ST}(c)\) returns the total service time of case \(c\). \\"
total-cost-and-service-time-ratio-group-of-cases-granularity-c-g	Total Cost and Service Time Ratio (group of cases granularity)	C	G	"\(\mathit{TCSTR}\mathit{^{\times}}(g)\)
\newline \newline \(\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}\)"	"\(\frac{\mathit{TC}\mathit{^{\times}}(g)}{\mathit{ST}(g)}\)
\newline \newline The $\mathit{\times}$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times} \in \{\mathit{sgl}, \mathit{sum}\}$. If $\mathit{\times} = \mathit{sgl}$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sgl}}$; if $\mathit{\times} = \mathit{sum}$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{TC}\mathit{^{sum}}$."	\(\frac{\mathit{TC}(g)}{\mathit{ST}(g)}\)	"\(\mathit{TC}(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{ST}(g)\) returns the total service time of case group \(g\). \\"
